c;c;o;c;s;f;s;g;n;o;u;o;u;c;o;
Superliga;Viborg;Sonderjyske;1,33;S;3,25;G;2;1,75;1,36;3;2,15;1,66;2;1;
Serie B;Ascoli;Pordenone;1,33;ND;3,25;ND;2;1,75;1,36;3;2,1;1,7;1;0;
Super Lig;Besiktas;Kasimpasa;1,36;G;3;S;1,5;2,5;1,14;5,5;1,53;2,4;0;3;
Ligue 1;Lione;Nizza;1,36;G;3;S;1,7;2,05;1,25;4;1,72;2,1;2;0;
Serie B;Ternana;Reggina;1,36;G;3;S;1,8;1,95;1,28;3,5;2,02;1,83;2;0;
Ligue 1;Marsiglia;Nizza;1,36;G;3;S;1,8;1,95;1,3;3,5;2,01;1,89;2;1;
Primera Division Par;Nacional Asuncion;Ameliano;1,36;G;3;S;1,8;1,9;1,28;3,5;1,9;1,9;2;1;
Serie B;Brescia;Benevento;1,36;G;3;S;1,95;1,8;1,36;3;2,15;1,66;2;2;
Serie A;Udinese;Cagliari;1,36;G;3;S;1,95;1,8;1,36;3,2;2,1;1,72;5;1;
Ligue 1;Bordeaux;Metz;1,36;G;3;S;1,95;1,8;1,36;3,2;2,2;1,66;3;1;
Liga MX ;Atl San Luis;Unam;1,36;G;3;S;1,95;1,8;1,33;3,25;2,1;1,7;2;0;
Europa League;Paok;Midtjylland;1,36;G;3;S;2;1,72;1,4;2,75;2,2;1,65;2;1;
Premier League;West Ham;Wolves;1,36;G;3;S;2;1,75;1,44;2,75;2,3;1,61;1;0;
Premier League;Newcastle;Wolves;1,36;G;3;S;2;1,75;1,44;2,75;2,37;1,57;1;0;
Ligue 1;ST Etienne;Troyes;1,36;G;3;S;2,05;1,7;1,4;3;2,3;1,61;1;1;
Laliga;Getafe;Maiorca;1,36;G;3;S;2,25;1,57;1,53;2,5;2,75;1,44;1;0;
Primera Nacional;Deportivo Moron;Atl Rafaela;1,36;G;3;S;2,37;1,53;1,5;2,5;2,6;1,47;2;0;
2 Bundesliga;ST Pauli;Heidenheim;1,36;ND;3;ND;1,61;2,2;1,2;4,33;1,65;2,2;1;0;
Primera Div Costar;Alajulense;Cartagines;1,36;S;3;G;1,66;2,1;1,22;4;1,8;2;3;2;
Liga Portugal 2;Estrela;Accademica;1,36;S;3;G;1,66;2,1;1,22;4;1,72;2,07;1;3;
Serie A;Inter;Milan;1,36;S;3;G;1,75;2;1,28;3,75;1,93;1,97;1;2;
League One;Lincoln;Morecambe;1,36;S;3;G;1,8;1,95;1,25;3,75;1,88;1,98;2;1;
Liga Portugal;FC Porto;Sporting;1,36;S;3;G;1,8;1,95;1,3;3,4;2,02;1,83;2;2;
Copa Sudamerica;LA Guaira;Hermanos Colmenares;1,36;S;3;G;1,8;1,9;1,28;3,5;2;1,85;3;0;
Eredivisie;Utrecht;Groningen;1,36;S;3;G;1,8;1,95;1,28;3,5;1,95;1,9;1;3;
Europa League;West Ham;Francoforte;1,36;S;3;G;1,8;1,95;1,33;3,4;2,06;1,84;1;2;
Serie A;Genoa;Salernitana;1,36;S;3;G;1,95;1,8;1,36;3,2;2,1;1,72;1;1;
Liga MX ;Leon;Queretaro;1,36;S;3;G;1,95;1,8;1,36;3;2,15;1,66;1;1;
Premier League;Chelsea;Arsenal;1,36;ND;3;ND;1,95;1,8;1,36;3,2;2,1;1,72;2;4;
League One;Wycombe;Shrewsbury;1,36;S;3;G;2;1,75;1,4;2,75;2,3;1,6;0;0;
Laliga2;Saragozza;Amorebieta;1,36;S;3;G;2,25;1,57;1,5;2,5;2,6;1,47;1;1;
Laliga2;Saragozza;Fuenlabrada;1,36;S;3;G;237;1,53;1,53;2,37;2,7;1,44;2;1;
Liga Portugal;Sporting;Benfica;1,4;G;2,75;S;1,61;2,2;1,2;4,33;1,7;2,1;0;2;
Conference League;Rennes;Leicester;1,4;G;2,75;S;1,66;2,1;1,22;4;1,75;2,05;2;1;
Serie A;Verona;Udinese;1,4;G;2,75;S;1,8;1,95;1,3;3,5;2,02;1,88;4;0;
Serie B;Parma;Cittadella;1,4;G;2,75;S;1,8;1,95;1,3;3,4;1,98;1,88;1;1;
1 Lig;Istanbulspor;Keciorengucu;1,4;G;2,75;S;1,8;1,9;1,28;3,5;1,95;1,85;1;1;
Laliga;Alaves;Granada;1,4;G;2,75;S;1,95;1,8;1,4;3;2,2;1,66;2;3;
Primera A Col;Aguilas;Pereira;1,4;G;2,75;S;2,1;1,66;1,44;2,62;2,4;1,53;1;0;
Laliga2;Leganes;Gijon;1,4;G;2,75;S;2,2;1,61;1,5;2,5;2,5;1,5;1;1;
Primera Div Costar;Saprissa;Santos;1,4;S;2,75;G;1,57;2,25;1,18;4,5;1,61;2,25;1;2;
Superliga;Midtjylland;Silkeborg;1,4;S;2,75;G;1,66;2,1;1,22;4;1,7;2,1;3;2;
Championship;Fulham;Nottingham;1,4;S;2,75;G;1,72;2;1,28;3,75;1,9;1,95;0;1;
Serie A;Milan;Lazio;1,4;S;2,75;G;1,75;2;1,28;3,5;1,9;1,95;4;0;
Serie B;Lecce;Benevento;1,4;S;2,75;G;1,75;2;1,28;3,5;1,95;1,9;1;1;
Superliga;Nordsjaelland;Sonderjyske;1,4;ND;2,75;ND;1,75;2;1,25;3,75;1,88;1,98;1;1;
Championship;Luton;Blackpool;1,4;S;2,75;G;1,8;1,9;1,3;3,5;1,98;1,88;1;1;
League One;Portsmouth;Burton;1,4;S;2,75;G;1,9;1,9;1,33;3,25;2,05;1,75;2;1;
Serie B;Lecce;Frosinone;1,4;S;2,75;G;1,9;1,9;1,33;3,25;2,05;1,75;1;0;
Ligue 1;Nantes;Angers;1,4;ND;2,75;ND;2;1,75;1,4;3;2,2;1,66;1;1;
Serie B;Reggina;Cosenza;1,4;ND;2,75;ND;2,25;1,57;1,57;2,25;2,87;1,4;1;0;
A League;Central Coast Mariners;Wellington Phoenix;1,44;G;2,62;S;1,57;2,25;1,2;4,5;1,61;2,3;5;0;
Serie A;Bologna;Empoli;1,44;G;2,62;S;1,61;2,2;1,22;4,33;1,72;2,1;0;0;
Conference League;Francoforte;Betis;1,44;G;2,62;S;1,61;2,2;1,2;4,5;1,61;2,3;0;1;
A League;Brisbane Roar;Wellington Phoenix;1,44;G;2,62;S;1,61;2,2;1,22;4,33;1,72;2;0;3;
Conference League;Feyenoord;Marsiglia;1,44;G;2,62;S;1,61;2,2;1,2;4,33;1,66;2,15;3;2;
Europa League;Lione;FC Porto;1,44;G;2,62;S;1,66;2,1;1,25;4;1,72;2,1;1;1;
Premier League;Arsenal;Manchester Utd;1,44;G;2,62;S;1,66;2,1;1,25;4;1,8;2;3;1;
Allsvenskan;Varnamo;Degerfors;1,44;G;2,62;S;1,7;2,05;1,25;3,75;1,9;1,95;2;0;
Super Lig;Karagumruk;Kayserispor;1,44;G;2,62;S;1,72;2;1,25;3,75;1,93;1,93;3;0;
Superliga;Aalborg;Randers;1,44;G;2,62;S;1,75;2;1,28;3,5;1,93;1,93;3;0;
Premier League;Newcastle;Leicester;1,44;G;2,62;S;1,75;2;1,28;3,75;1,95;1,95;2;1;
Serie B;Perugia;Parma;1,44;G;2,62;S;1,75;2;1,28;3,5;1,9;1,95;2;1;
Laliga;Celta Vigo;Betis;1,44;G;2,62;S;1,8;1,95;1,33;3,4;2,09;1,81;0;0;
Bundesliga;Union Berlino;Francoforte;1,44;G;2,62;S;1,8;1,95;1,3;3,5;1,98;1,92;2;0;
Ligue 1;Strasburgo;Nizza;1,44;G;2,62;S;1,9;1,9;1,33;3,4;2,1;1,72;0;0;
League One;Preston;Huddersfield;1,44;G;2,62;S;1,9;1,8;1,4;3;2,3;1,61;0;0;
J2 League Giap;Mito;Kumamoto;1,44;G;2,62;S;1,9;1,8;1,36;3;2,2;1,65;2;0;
Premier League;Brighton;Southampton;1,44;G;2,62;S;1,9;1,9;1,36;3,2;2,1;1,72;2;2;
Serie A;Genoa;Cagliari;1,44;G;2,62;S;1,9;1,9;1,36;3,2;2,1;1,72;1;0;
FA Cup;Crystal Palace;Everton;1,44;G;2,62;S;1,95;1,8;1,36;3;2,2;1,66;4;0;
Ligue 1;Lorient;ST Etienne;1,44;G;2,62;S;1,95;1,8;1,4;3;2,2;1,66;6;2;
Serie B;Crotone;Cosenza;1,44;G;2,62;S;2;1,75;1,4;2,75;2,35;1,57;3;3;
Championship;Stoke ;Swansea;1,44;G;2,62;S;2,1;1,66;1,44;2,75;2,37;1,57;3;0;
Super Lig;Antalyaspor;Giresunspor;1,44;G;2,62;S;2,2;1,61;1,5;2,5;2,4;1,53;4;1;
Nazionali;Estonia;Cipro;1,44;G;2,62;S;2,37;1,53;1,61;2,3;3,2;1,36;0;0;
Primera Nacional;Instituto;Ferro;1,44;G;2,62;S;2,37;1,53;1,61;2,2;2,87;1,4;3;2;
Laliga;Celta Vigo;Getafe;1,44;G;2,62;S;2,37;1,53;1,61;2,3;3;1,4;0;2;
Eerste Divisie;Telstar;Den Bosch;1,44;S;2,62;G;1,57;2,25;1,18;4,5;1,66;2,15;1;2;
Coppa Italia;Atalanta;Fiorentina;1,44;S;2,62;G;1,61;2,2;1,2;4,33;1,66;2,15;2;3;
Serie A;Empoli;Cagliari;1,44;S;2,62;G;1,61;2,2;1,22;4,33;1,72;2,1;1;1;
Serie B;Pisa;Ternana;1,44;S;2,62;G;1,8;1,95;1,3;3,4;2,05;1,88;0;0;
League Two Eng;Rochdale;Carlisle;1,44;ND;2,62;ND;1,83;1,83;1,36;3;2,1;1,7;2;0;
Championship;Nottingham;Coventry;1,44;ND;2,62;ND;1,83;1,83;1,33;3,4;2,05;1,8;2;0;
Champions League;Manchester Utd;Atl Madrid;1,44;S;2,62;G;1,95;1,8;1,4;3;2,2;1,66;0;1;
Laliga;Osasuna;Alaves;1,44;S;2,62;G;1,95;1,8;1,36;3,2;2,2;1,66;1;0;
Europa League;Rangers;Braga;1,44;S;2,62;G;1,95;1,8;1,4;3;2,2;1,66;3;1;
Coppa Colombia;Junior;Santa FE;1,44;S;2,62;G;2;1,72;1,4;2,75;2,3;1,6;2;1;
Laliga;Siviglia;Real Sociedad;1,44;S;2,62;G;2,05;1,7;1,44;2,75;2,37;1,57;0;0;
Nazionali;Svezia;Repubblica Ceca;1,44;S;2,62;G;2,1;1,66;1,5;2,5;2,5;1,5;0;0;
2 Bundesliga;Paderborn;Dusseldorf;1,5;G;2,5;S;1,57;2,25;1,18;4,5;1,61;2,25;1;1;
A League;Central Coast;Macarthur;1,5;G;2,5;S;1,7;2,05;1,28;3,75;1,88;1,98;3;3;
J1 League Giap;Iwata;G Osaka;1,5;G;2,5;S;1,75;2;1,28;3,5;1,93;1,93;1;1;
Serie B;Lecce;Brescia;1,5;G;2,5;S;1,8;1,95;1,3;3,4;2,1;1,77;1;1;
A League;Melbourne Victory;Western United;1,5;G;2,5;S;1,8;1,95;1,33;3,4;2,1;1,72;1;1;
J1 League Giap;C Osaka;Kashiwa;1,5;G;2,5;S;1,8;1,95;1,33;3,25;2,05;1,8;0;1;
Conference League;Leicester;Roma;1,5;G;2,5;S;1,83;1,83;1,33;3,25;2,1;1,7;1;1;
Ligue 1;Clermont;Lorient;1,5;G;2,5;S;1,9;1,9;1,36;3,2;2,2;1,66;0;2;
Serie B;LR Vicenza;Pordenone;1,5;G;2,5;S;1,95;1,8;1,36;3;1,65;2,2;1;0;
Champions League;Chelsea;Real Madrid;1,5;G;2,5;S;1,95;1,8;1,36;3,2;2,2;1,66;1;3;
Primera Division Cil;Everton;A Italiano;1,5;G;2,5;S;2;1,72;1,4;2,75;2,35;1,57;0;0;
Nazionali;Polonia;Svezia;1,5;G;2,5;S;2,1;1,66;1,5;2,5;2,6;1,47;2;0;
Championship;Millwall;Swansea;1,5;G;2,5;S;2,1;1,66;1,5;2,62;2,37;1,57;0;1;
Laliga;Vallecano;Osasuna;1,5;G;2,5;S;2,2;1,61;1,53;2,5;2,62;1,5;0;3;
Nazionali;Corea Del Sud;Iran;1,5;G;2,5;S;2,37;1,53;1,61;2,2;2,87;1,4;2;0;
Eerste Divisie;Helmond;Maastricht;1,5;S;2,5;G;1,53;2,37;1,16;5;1,57;2,35;1;2;
J2 League Giap;Yamagata;Verdy;1,5;S;2,5;G;1,66;2,1;1,25;3,75;1,77;2,1;3;3;
2 Bundesliga;Regensburg;Ingolstadt;1,5;S;2,5;G;1,66;2,1;1,22;4;1,75;2,05;1;1;
Bundesliga;Monchengladbach;Wolfsburg;1,5;S;2,5;G;1,7;2,05;1,28;3,75;1,95;1,95;2;2;
Serie A Bra;Flamengo;Palmeiras;1,5;S;2,5;G;1,75;2;1,28;3,5;1,95;1,9;0;0;
Premier League;Leicester;Brentford;1,5;S;2,5;G;1,8;1,95;1,33;3,4;2,07;1,83;2;1;
Europa League;West Ham;Lione;1,5;S;2,5;G;1,8;1,95;1,3;3,5;2,03;1,87;1;1;
Copa Sudamerica;Guairena FC;Nueve DE Octubre;1,5;S;2,5;G;1,83;1,83;1,33;3,25;2,05;1,75;1;0;
Champions League;Juventus;Villarreal;1,5;S;2,5;G;1,9;1,9;1,33;3,4;2,1;1,72;0;3;
Serie B;Pisa;Cittadella;1,5;S;2,5;G;1,95;1,8;1,36;3;2,2;1,65;1;0;
Championship;Preston;Blackpool;1,5;S;2,5;G;2;1,72;1,44;2,75;2,37;1,57;1;0;
Europa League;West Ham;Siviglia;1,5;S;2,5;G;2,05;1,7;1,5;2,62;2,5;1,53;1;0;
Primera Nacional;Gimnasia Jujuy;Atletico Atlanta;1,5;S;2,5;G;2,2;1,61;1,53;2,37;2,7;1,44;1;1;
Primera Nacional;Almirante Brown;San Martin SJ;1,5;S;2,5;G;2,25;1,57;1,57;2,25;2,87;1,4;1;0;
Primera Nacional;Club A Guemes;All Boys;1,5;S;2,5;G;2,5;1,5;1,66;2,1;3,1;1,36;0;2;
Eerste Divisie;Breda;Jong Ajax;1,53;G;2,37;S;1,44;2,62;1,14;5,5;1,5;2,5;0;0;
Superliga;Nordsjaelland;Aarhus;1,53;G;2,37;S;1,7;2,02;1,25;3,75;1,88;1,98;2;2;
Serie B;Crotone;Ternana;1,53;G;2,37;S;1,75;2;1,25;3,75;1,93;1,93;1;2;
3 Liga;Osnabruck;Braunschweig;1,53;G;2,37;S;1,8;1,9;1,3;3,4;1,98;1,88;1;1;
2 Bundesliga;Hallescher;Zwickau;1,53;G;2,37;S;1,83;1,83;1,33;3,25;2,1;1,77;2;0;
Premier League;Brighton;Aston Villa;1,53;G;2,37;S;1,95;1,8;1,4;3;2,1;1,72;0;2;
Primier Division Irl;Finn Harps;Drogheda;1,53;G;2,37;S;1,95;1,8;1,36;3;2,15;1,66;2;2;
Premier League;Brentford;Newcastle;1,53;G;2,37;S;2,05;1,7;1,44;2,75;2,37;1,57;0;2;
Primera A Col;Magdalena;Envigado;1,53;G;2,37;S;2,2;1,61;1,5;2,5;2,7;1,44;2;1;
Laliga2;R Oviedo;Huesca;1,53;G;2,37;S;2,2;1,61;1,53;2,37;2,7;1,44;3;3;
Laliga2;Leganes;Saragozza;1,53;G;2,37;S;2,37;1,53;1,61;2,2;2,87;1,4;2;1;
Primera Division Uru;Montevideo City;Danubio;1,53;ND;2,37;ND;1,72;2;1,28;3,5;1,95;1,9;1;1;
Serie B;Benevento;Parma;1,53;S;2,37;G;1,75;2;1,28;3,5;2;1,85;0;0;
Serie B;Cremonese;Monza;1,53;S;2,37;G;1,8;1,95;1,33;3,25;2,05;1,75;3;2;
Laliga;Espanyol;Maiorca;1,53;S;2,37;G;1,9;1,9;1,36;3,2;2,1;1,72;1;0;
Liga Portugal 2;Leixoes;Penafiel;1,53;ND;2,37;ND;1,9;1,8;1,4;2,75;2,3;1,6;0;1;
Serie A;Spezia;Venezia;1,53;ND;2,37;ND;1,9;1,9;1,36;3,2;2,1;1,72;1;0;
Primera Division Par;Nacional Asuncion;Guairena FC;1,53;ND;2,37;ND;1,9;1,8;1,44;2,62;2,35;1,57;3;1;
League One;Shrewsbury;Lincoln;1,53;S;2,37;G;2,05;1,7;1,44;2,62;2,35;1,57;1;0;
Primera Nacional;Quilmes;Agropecuario;1,53;S;2,37;G;2,1;1,66;1,44;2,62;2,5;1,5;1;1;
Veikkausliiga;Honka;Haka;1,53;S;2,37;G;2,1;1,66;1,5;2,5;2,6;1,47;3;2;
Parva Liga Bulg;Lok Plovdiv;Beroe;1,53;ND;2,37;ND;2,2;1,61;1,5;2,5;2,6;1,47;1;1;
Liga MX ;Atlas;Guadalajara;1,53;S;2,37;S;2,62;1,44;1,72;2;3,5;1,3;1;1;
Super Lig;Sivasspor;Alanyaspor;1,57;G;2,25;S;1,66;2,1;1,28;3,5;1,93;1,93;1;0;
Serie A;Atalanta;Napoli;1,57;G;2,25;S;1,7;2,05;1,28;3,75;1,9;2;1;3;
Serie B;Cittadella;Ternana;1,57;G;2,25;S;1,75;2;1,3;3,4;2;1,85;1;2;
Laliga;Maiorca;Valencia;1,57;G;2,25;S;1,8;1,95;1,36;3,2;2,2;1,66;0;1;
Serie B;Frosinone;Monza;1,57;G;2,25;S;1,8;1,95;1,3;3,4;2,05;1,75;4;1;
Championship;Sheffield Utd;West Brom;1,57;G;2,25;S;1,83;1,83;1,36;3,2;2,1;1,72;2;0;
Nazionali;Cile;Uruguay;1,57;G;2,25;S;1,9;1,9;1,36;3;2,2;1,65;0;2;
Bundesliga;Union Berlino;Colonia;1,57;G;2,25;S;1,9;1,9;1,36;3,2;2,2;1,66;1;0;
Europa League;Braga;Rangers;1,57;G;2,25;S;1,9;1,9;1,36;3,2;2,1;1,72;1;0;
Premier League;Newcastle;Crystal Palace;1,57;G;2,25;S;1,95;1,8;1,4;3;2,3;1,61;1;0;
Championship;Millwall;Huddersfield;1,57;G;2,25;S;2,2;1,61;1,75;2,37;2,75;1,44;2;0;
Super Lig;Hatayspor;Goztepe;1,57;S;2,25;G;1,61;2,2;1,22;4;1,8;2;2;1;
Conference League;Psv;Leicester;1,57;S;2,25;G;1,61;2,2;1,22;4;1,75;2,05;1;2;
Primera Division Cil;U DE Chile;Curico Unido;1,57;ND;2,25;ND;1,66;2,1;1,25;3,75;1,83;2,02;1;1;
Bundesliga Aus;Rapid Vienna;Austria Vienna;1,57;S;2,25;G;1,8;1,95;1,3;3,4;2,05;1,75;1;1;
Serie B;Frosinone;Benevento;1,57;ND;2,25;ND;1,8;1,95;1,3;3,4;2,02;1,83;2;0;
Superettan Svez;Vasteras SK;Utsiktens;1,57;S;2,25;G;1,8;1,95;1,28;3,5;1,9;1,95;0;3;
Ligue 1;Troyes;Clermont;1,57;ND;2,25;ND;1,8;1,95;1,33;3,4;2;1,8;0;1;
Bundesliga Aus;Wolfsberger;Austria Vienna;1,57;ND;2,25;ND;1,8;1,95;1,3;3,4;2,02;1,83;1;1;
1 Lig;Boluspor;Keciorengucu;1,57;S;2,25;G;1,83;1,83;1,33;3,25;2,07;1,72;0;0;
Premier League;Wolves;Leeds;1,57;S;2,25;G;1,9;1,9;1,36;3,2;2,1;1,72;2;3;
Championship;Derby;Hull;1,57;S;2,25;G;2,1;1,66;1,5;2,62;2,62;1,5;3;1;
Ligue 1;Angers;Reims;1,57;S;2,25;G;2,1;1,66;1,53;2,5;2,75;1,44;0;1;
Championship;Barnsley;Bristol City;1,61;G;2,2;S;1,72;2;1,3;3,5;2,02;1,83;2;0;
Championship;Luton;Preston;1,61;G;2,2;S;1,9;1,8;1,4;3;2,2;1,66;4;0;
League One;Wimbledon;Cambridge Utd;1,61;G;2,2;S;1,95;1,8;1,4;2,75;2,25;1,61;0;1;
Primera A Col;Ind Medellin;Millonarios;1,61;G;2,2;S;2,2;1,61;1,53;2,37;2,87;1,4;1;0;
Nazionali;Cipro;Estonia;1,61;G;2,2;S;2,37;1,53;1,66;2,2;3,2;1,36;2;0;
A League;Adelaide United;WS Wanderers;1,61;S;2,2;G;1,5;2,5;1,16;5;1,57;2,37;1;2;
Laliga;Real Madrid;Barcellona;1,61;S;2,2;G;1,61;2,2;1,22;4,33;1,72;2,1;0;4;
Ligue 1;Montpellier;Reims;1,61;S;2,2;G;1,7;2,05;1,28;3,75;1,91;1,99;0;0;
3 Liga;Verl;Zwickau;1,61;S;2,2;G;1,72;2;1,28;3,5;1,93;1,93;0;0;
2 Bundesliga;Hannover;Regensburg;1,61;S;2,2;G;1,72;2;1,28;3,5;1,95;1,9;1;1;
Europa League;Lazio;FC Porto;1,61;S;2,2;G;1,75;2;1,3;3,5;2,01;1,89;2;2;
Europa League;Stella Rossa;Rangers;1,61;ND;2,2;ND;1,75;2;1,3;3,5;1,96;1,94;2;1;
Laliga;Granada;Levante;1,61;S;2,2;G;1,75;2;1,3;3,5;2;1,9;1;4;
Coppa Italia;Juventus;Fiorentina;1,61;S;2,2;G;1,75;2;1,3;3,4;2;1,85;2;0;
Primera Division Par;General Caballero Jlm;12 DE Octubre;1,61;ND;2,2;ND;1,83;1,83;1,36;3;2,1;1,7;0;0;
Championship;Blackburn;Nottingham;1,61;S;2,2;G;1,9;1,8;1,4;3;2,62;1,5;0;2;
Ligue 1;Angers;Brest;1,61;S;2,2;G;1,95;1,8;1,4;3;2,3;1,61;1;0;
Copa Libertdores;Olimpia Asuncion;Atl Nacional;1,61;S;2,2;G;2;1,75;1,4;2,75;2,3;1,6;3;1;
J2 League Giap;V Varen Nagasaki;Kanazawa;1,61;S;2,2;G;2;1,72;1,44;2,62;2,4;1,53;0;1;
League Two Eng;Port Vale;Exeter;1,61;S;2,2;G;2,1;1,66;1,5;2,5;2,5;1,5;0;0;
League Two Eng;Port Vale;Exeter;1,61;S;2,2;G;2,1;1,66;1,5;2,5;2,5;1,5;0;0;
Bundesliga;Dortmund;RB Lipsia;1,66;G;2,1;S;1,5;2,5;1,16;5;1,57;2,37;1;4;
2 Bundesliga;Karlsruher;Norimberga;1,66;G;2,1;S;1,53;2,37;1,2;4,33;1,7;2,1;4;1;
2 Bundesliga;Regensburg;Paderborn;1,66;G;2,1;S;1,53;2,37;1,18;4,5;1,66;2,15;1;0;
Ligue 1;Bordeaux;ST Etienne;1,66;G;2,1;S;1,61;2,2;1,22;4,33;1,8;2;2;2;
Serie B;Crotone;Cittadella;1,66;G;2,1;S;1,75;2;1,3;3,4;2,02;1,83;0;0;
Laliga;Vallecano;Betis;1,66;G;2,1;S;1,9;1,9;1,36;3;2,1;1,7;1;2;
Serie B;Pisa;Cremonese;1,66;G;2,1;S;1,9;1,9;1,36;3;2,25;1,61;3;0;
Premier League;Burnley;Everton;1,66;G;2,1;S;1,95;1,8;1,4;3;2,3;1,61;3;2;
Premier League;Burnley;Wolves;1,66;G;2,1;S;2;1,75;1,44;2,75;2,37;1,57;1;0;
Serie A;Fiorentina;Lazio;1,66;S;2,1;G;1,61;2,2;1,25;4;1,72;2,1;0;3;
Premier League;Crystal Palace;Leeds;1,66;S;2,1;G;1,7;2,05;1,28;3,75;1,91;1,99;0;0;
Primera Division Cil;Palestino;O Higgins;1,66;S;2,1;G;1,72;2;1,28;3,5;1,98;1,88;1;0;
Europa League;Lione;West Ham;1,66;S;2,1;G;1,75;2;1,28;3,75;1,97;1,93;0;3;
Serie B;LR Vicenza;Crotone;1,66;S;2,1;G;1,8;1,95;1,36;3;2,15;1,66;1;1;
Premier League;Leicester;Crystal Palace;1,66;S;2,1;G;1,8;1,95;1,36;3,2;2,1;1,72;2;1;
Liga Portugal 2;Chaves;Rio Ave;1,66;S;2,1;G;1,9;1,8;1,36;3;2,15;1,66;2;1;
Liga Portugal;Portimonense;Boavista;1,66;S;2,1;G;1,9;1,9;1,36;3;2,2;1,65;1;1;
Serie B;Benevento;Pisa;1,66;S;2,1;G;1,9;1,9;1,36;3;2,2;1,65;5;1;
Serie B;Pisa;Brescia;1,66;ND;2,1;ND;1,9;1,9;1,36;3;2,15;1,66;0;0;
Premier League;Everton;Newcastle;1,66;S;2,1;G;1,95;1,8;1,4;3;2,2;1,66;1;0;
Primera Nacional;Temperley;Atletico Atlanta;1,66;S;2,1;G;2,2;1,61;1,53;2,37;2,7;1,44;0;2;
Eerste Divisie;Venlo;Den Haag;1,72;G;2;S;1,57;2,25;1,2;4,33;1,65;2,2;0;5;
Bundesliga;Leverkusen;RB Lipsia;1,72;G;2;S;1,7;2,05;1,28;3,75;1,96;1,94;0;1;
Primera Div Costar;Santos DG;Sporting San Jose;1,72;G;2;S;1,72;2;1,28;3,5;1,98;1,83;2;3;
Premier League;Newcastle ;Everton;1,72;G;2;S;1,75;2;1,3;3,5;2,03;1,87;3;1;
A League;Brisbane Roar;Melbourne City;1,72;G;2;S;1,75;2;1,3;3,5;2;1,85;1;2;
A League;Brisbane Roar;Western United;1,72;G;2;S;1,8;1,95;1,33;3,4;2,1;1,72;2;3;
Eredivisie;Oss;Eindhoven;1,72;G;2;S;1,83;1,83;1,36;3;2,2;1,65;1;2;
Championship;Preston;Blackburn;1,72;G;2;S;1,83;1,83;1,36;3,2;2,1;1,72;1;4;
League One;Gillingham FC;Cambridge Utd;1,72;G;2;S;1,95;1,8;1,4;2,75;2,3;1,6;1;0;
Laliga;Alaves;Valencia;1,72;G;2;S;2;1,75;1,44;2,75;2,37;1,57;2;1;
Championship;Cardiff;Stoke;1,72;G;2;S;2;1,72;1,44;2,75;2,5;1,53;2;1;
Serie B;Cittadella;Perugia;1,72;G;2;S;2;1,75;1,44;2,62;2,35;1,57;0;0;
Premier League;Leeds;Southampton;1,72;S;2;G;1,5;2,5;1,16;5;1,61;2,3;1;1;
Europa League;Leverkusen;Atalanta;1,72;S;2;G;1,53;2,37;1,2;4,5;1,61;2,3;0;1;
Conference League;Leicester;Psv;1,72;S;2;G;1,53;2,37;1,2;4,33;1,66;2,15;0;0;
2 Bundesliga;Ingolstadt;Aue;1,72;S;2;G;1,61;2,2;1,22;4;1,72;2,07;3;2;
Jupiler League;Waregem;Oostende;1,72;S;2;G;1,66;2,1;1,25;3,75;1,9;1,95;0;0;
2 Bundesliga;Rostock;Kiel;1,72;S;2;G;1,66;2,1;1,25;3,75;1,88;1,98;3;2;
Ligue 1;Bordeaux;Montpellier;1,72;ND;2;ND;1,7;2,05;1,28;3,75;1,92;1,98;0;2;
Laliga;Betis;Ath Bilbao;1,72;S;2;G;1,75;2;1,3;3,5;2,06;1,84;1;0;
Serie B;Ascoli;Como;1,72;S;2;G;1,8;1,95;1,33;3,25;2,07;1,72;1;1;
Serie B;LR Vicenza;Parma;1,72;S;2;G;1,8;1,95;1,3;3,4;2,02;1,83;0;1;
Superettan Svez;Brage;Orebro;1,72;S;2;G;1,8;1,95;1,3;3,4;2,05;1,75;3;0;
Champions League;Atl Madrid;Manchester Utd;1,72;S;2;G;1,9;1,9;1,36;3,2;2,2;1,66;1;1;
Allsvenskan;Kalmar;Norrkoping;1,72;S;2;G;1,9;1,9;1,36;3;2,1;1,7;1;2;
Serie B;Perugia;Benevento;1,72;S;2;G;1,95;1,8;1,4;2,75;2,25;1,61;0;1;
Liga MX ;Leon;Cruz Azul;1,72;S;2;G;1,95;1,8;1,4;2,75;2,35;1,57;0;1;
Championship;Sheffield Utd;Wigan;1,72;S;2;G;2;1,75;1,44;2,62;2,5;1,5;1;0;
Laliga2;Tenerife;Almeria;1,72;S;2;G;2;1,72;1,44;2,62;2,4;1,53;0;1;
J1 League Giap;Sapporo;Yokohama M;1,8;G;1,9;S;1,44;2,62;1,12;6;1,47;2,6;1;1;
Super Lig;Adana Demirspor;Besiktas;1,8;G;1,9;S;1,57;2,25;1,2;4,33;2,5;2,1;1;1;
2 Bundesliga;Regensburg;ST Pauli;1,8;G;1,9;S;1,61;2,2;1,25;3,75;1,85;2;2;3;
Nazionali;Galles;Austria;1,8;G;1,9;S;2,1;1,66;1,53;2,37;2,7;1,44;2;1;
